schemaVersion,source.name,source.url,collectedAt,recordType,content.title,content.published_date,content.full_text
1.0,Hacker News,https://www.nytimes.com/2026/08/26/business/dealbook/nvidia-earnings-ai-investments.html,2026-08-26T14:11:06.619019Z,NEWS,Wall St. Scrutinizes Nvidia's Deal Machine,2026-08-26T11:54:53Z,
1.0,Hacker News,https://data-infinityfreeapp.gt.tc/,2026-08-26T14:11:06.620038Z,NEWS,Top Best AI Aggregators in 2026,2026-08-26T11:38:25Z,
1.0,Hacker News,https://blog.documentfoundation.org/blog/2026/08/26/libreoffice-26-8/,2026-08-26T14:11:06.620535Z,NEWS,"LibreOffice 26.8: Tabbed UI improvements, better typography, and no AI",2026-08-26T11:38:05Z,
1.0,Hacker News,https://sevren.ai/news.html,2026-08-26T14:11:06.621248Z,NEWS,Sevren: A new European AI lab developing open-source AI technologies,2026-08-26T11:36:07Z,
1.0,Hacker News,https://www.youtube.com/watch?v=nBQEaMC27eM,2026-08-26T14:11:06.621744Z,NEWS,The Practical Side of Building AI Products in Production [video],2026-08-26T11:35:36Z,
1.0,Hacker News,https://www.nytimes.com/2026/08/26/technology/bill-gates-ai-risks.html,2026-08-26T14:11:06.622251Z,NEWS,Bill Gates warns A.I. is more dangerous than Big Tech will admit,2026-08-26T11:28:28Z,
1.0,Hacker News,https://www.xda-developers.com/as-ubuntu-embraces-ai-debian-discusses-banning-all-ai-generated-code/,2026-08-26T14:11:06.622725Z,NEWS,"As Ubuntu embraces AI, Debian discusses banning all AI-generated code",2026-08-26T11:27:39Z,
1.0,Hacker News,https://thenextweb.com/news/moonshot-k3-revenue-sharing-us-clouds,2026-08-26T14:11:06.623466Z,NEWS,Moonshot AI wants 30% of what US clouds earn from Kimi K3,2026-08-26T11:24:38Z,
1.0,MIT Technology Review,https://www.technologyreview.com/2026/08/26/1141949/editors-letter-september-2026/,2026-08-26T14:11:07.364761Z,NEWS,Raised on AI,2026-08-26T09:00:00Z,"When my oldest child was born, I immediately set up Gmail and Twitter accounts in her name. I broadly announced her birth online and proceeded to plaster her photo across all sorts of platforms. In short, I began creating her digital footprint long before she could stand on her own two feet.&#160; Fast-forward a couple&#8230;"
1.0,MIT Technology Review,https://www.technologyreview.com/2026/08/26/1141952/puzzles-ai-models-flub-these-tests/,2026-08-26T14:11:07.365354Z,NEWS,AI models flub these intelligence tests. Can you fare any better?,2026-08-26T09:00:00Z,"Puzzles and games have been central to AI development since the very beginning. Just as we humans like to test our smarts with crosswords or logic puzzles, developers can test how far models have advanced with a gaming gauntlet. The term “machine learning” was popularized in a 1959 article by the IBM computer scientist Arthur&#8230;"
1.0,MIT Technology Review,https://www.technologyreview.com/2026/08/26/1142946/bill-gates-ai-danger-threshold/,2026-08-26T14:11:07.365848Z,NEWS,Bill Gates says we’ve passed AI’s danger thresholds. Now what?,2026-08-26T07:01:00Z,"It’s a glorious day in Kirkland, Washington, an affluent Seattle suburb on the eastern shore of Lake Washington. The temperature is in the mid-80s, and the sky is incapable of being any more blue. The view from the Gates Ventures conference room overlooks the Carillon Point Marina, where a flotilla of expensive boats bob in&#8230;"
1.0,TechCrunch,https://techcrunch.com/2026/08/26/robot-brain-builders-are-pushing-out-of-their-gpt-2-era/,2026-08-26T14:11:08.277903Z,NEWS,Robot brain builders are pushing out of their GPT-2 era,2026-08-26T13:30:00Z,Robot bodies are waiting for their AI brains to catch up.
1.0,TechCrunch,https://techcrunch.com/2026/08/26/querystory-wants-you-to-believe-what-ai-is-telling-you/,2026-08-26T14:11:08.278598Z,NEWS,QueryStory wants you to believe what AI is telling you,2026-08-26T13:00:00Z,The startup came out of stealth with $6 million in seed funding and a plan to use LLMs and cybersecurity know-how to make AI queries coherent.
1.0,TechCrunch,https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26T14:11:08.279663Z,NEWS,Arga Labs is building a better way to train enterprise AI agents,2026-08-26T12:55:28Z,"Arga has raised $10 million in a seed funding round that was led by General Catalyst, with participation from Box Group, Emergence, Gradient and SV Angel."
1.0,TechCrunch,https://techcrunch.com/2026/08/26/hearing-tech-startup-legato-emerges-from-stealth-with-12m-and-a-peek-at-its-ai-hearing-glasses/,2026-08-26T14:11:08.280405Z,NEWS,Hearing tech startup Legato emerges from stealth with $12M and a peek at its AI hearing glasses,2026-08-26T12:00:00Z,"The glasses, called Legato Frames, integrate the company’s patented hearing-assistance technology into the arms of eyewear frames."
1.0,TechCrunch,https://techcrunch.com/2026/08/26/runable-hits-21m-to-bet-ai-agents-can-go-from-building-businesses-to-growing-them/,2026-08-26T14:11:08.280956Z,NEWS,Runable hits $21M to bet AI agents can go from building businesses to growing them,2026-08-26T11:00:00Z,Runable says 60%–70% of its 1 trillion-plus token usage in the last 90 days came from paying customers.
1.0,TechCrunch,https://techcrunch.com/2026/08/25/indias-ringg-gets-backing-from-peak-xv-as-it-pushes-voice-ai-past-the-phone-call/,2026-08-26T14:11:08.281453Z,NEWS,India’s Ringg gets backing from Peak XV as it pushes voice AI past the phone call,2026-08-26T03:30:00Z,Ringg has raised $10 million from Peak XV as a part of its Series A extension.
1.0,TechCrunch,https://techcrunch.com/2026/08/25/robotics-startup-generalist-reaches-3b-valuation-sources-say/,2026-08-26T14:11:08.282013Z,NEWS,"Robotics startup Generalist reaches $3B valuation, sources say",2026-08-26T00:40:59Z,The $200 million extension comes just months after the physical AI startup reached a $2 billion valuation.
1.0,TechCrunch,https://techcrunch.com/2026/08/25/openai-loses-a-top-data-center-exec-as-stream-of-high-profile-departures-continues/,2026-08-26T14:11:08.282445Z,NEWS,OpenAI loses a top data center exec as stream of high-profile departures continues,2026-08-26T00:06:20Z,"In a statement to TechCrunch about Malone's departure, OpenAI said it had ""recently reorganized"" its ""infrastructure organization to support the scale and pace of our work."""
1.0,TechCrunch,https://techcrunch.com/2026/08/25/stability-ai-maker-of-image-generator-stable-diffusion-raises-76-million-in-fresh-funding/,2026-08-26T14:11:08.282901Z,NEWS,"Stability AI, maker of image generator Stable Diffusion, raises $76 million in fresh funding",2026-08-25T19:03:47Z,The company's new fundraising total now stands at $232 million.
1.0,TechCrunch,https://techcrunch.com/2026/08/25/claude-cowork-finally-remembers-what-you-told-the-app-in-chat/,2026-08-26T14:11:08.283360Z,NEWS,Claude Cowork finally remembers what you told the app in chat,2026-08-25T17:50:33Z,"Anthropic is giving Claude a shared memory across chat and Cowork, so users no longer have to repeatedly brief the AI on projects, preferences, and other context."
1.0,TechCrunch,https://techcrunch.com/2026/08/25/gamma-acquires-accel-backed-design-startup-lica/,2026-08-26T14:11:08.283986Z,NEWS,Gamma acquires Accel-backed design startup Lica,2026-08-25T15:00:00Z,Lica co-founders are going to work on Gamma's new research team.
1.0,TechCrunch,https://techcrunch.com/2026/08/25/openais-jalapeno-chip-is-built-for-fast-inference-at-scale-benchmarks-show/,2026-08-26T14:11:08.284593Z,NEWS,"OpenAI’s Jalapeño chip is built for fast inference at scale, benchmarks show",2026-08-25T14:22:04Z,"Tested on SemiAnalysis’ InferenceX benchmark, Jalapeño registered both more tokens per user and more throughput per kilowatt than the currently available state-of-the art."
1.0,The Verge,https://www.theverge.com/ai-artificial-intelligence/984923/bill-gates-is-deeply-worried-about-ai-and-hes-no-longer-staying-quiet,2026-08-26T14:11:11.123158Z,NEWS,"Bill Gates is deeply worried about AI, and he’s no longer staying quiet",2026-08-26T11:07:40Z,"Bill Gates has been reflecting a lot on AI lately, and the process has triggered a stark awakening. Once a staunch AI optimist, the Microsoft cofounder is now deeply pessimistic about what AI means for our collective future. Having been conspicuously quiet on AI issues recently, Gates is back with a nearly 6,000-word essay seeking [&#8230;]"
